Sci-Fi,over,{"count": 530, "idf2": 10.5, "tf-idf2": 1.2, "tf-idf": 0.388, "tf_in_genre": 0.11417, "idf": 3.3959286763311396, "tf_tot": 0.095}
Sci-Fi,all,{"count": 1017, "idf2": 5.5, "tf-idf2": 1.2, "tf-idf": 0.539, "tf_in_genre": 0.21909, "idf": 2.4579896444633906, "tf_tot": 0.182}
Sci-Fi,or,{"count": 623, "idf2": 8.9, "tf-idf2": 1.19, "tf-idf": 0.424, "tf_in_genre": 0.13421, "idf": 3.1584293626044833, "tf_tot": 0.112}
Sci-Fi,that,{"count": 2380, "idf2": 2.3, "tf-idf2": 1.18, "tf-idf": 0.602, "tf_in_genre": 0.51271, "idf": 1.1746213961070688, "tf_tot": 0.443}
Sci-Fi,tri,{"count": 692, "idf2": 7.9, "tf-idf2": 1.18, "tf-idf": 0.444, "tf_in_genre": 0.14907, "idf": 2.977099597889921, "tf_tot": 0.127}
Sci-Fi,way,{"count": 571, "idf2": 9.5, "tf-idf2": 1.17, "tf-idf": 0.4, "tf_in_genre": 0.12301, "idf": 3.2515387669959646, "tf_tot": 0.105}
Sci-Fi,be,{"count": 1504, "idf2": 3.6, "tf-idf2": 1.17, "tf-idf": 0.603, "tf_in_genre": 0.324, "idf": 1.8624964762500653, "tf_tot": 0.275}
Sci-Fi,from,{"count": 1938, "idf2": 2.8, "tf-idf2": 1.17, "tf-idf": 0.619, "tf_in_genre": 0.41749, "idf": 1.4819685073978306, "tf_tot": 0.358}
Sci-Fi,after,{"count": 1010, "idf2": 5.2, "tf-idf2": 1.13, "tf-idf": 0.518, "tf_in_genre": 0.21758, "idf": 2.380821783940931, "tf_tot": 0.192}
Sci-Fi,will,{"count": 895, "idf2": 5.8, "tf-idf2": 1.12, "tf-idf": 0.491, "tf_in_genre": 0.1928, "idf": 2.5479317697761887, "tf_tot": 0.171}
Sci-Fi,some,{"count": 474, "idf2": 11.0, "tf-idf2": 1.12, "tf-idf": 0.353, "tf_in_genre": 0.10211, "idf": 3.457989644463391, "tf_tot": 0.091}
Sci-Fi,out,{"count": 1128, "idf2": 4.6, "tf-idf2": 1.12, "tf-idf": 0.532, "tf_in_genre": 0.243, "idf": 2.1909972250609138, "tf_tot": 0.219}
Sci-Fi,becom,{"count": 685, "idf2": 7.6, "tf-idf2": 1.12, "tf-idf": 0.431, "tf_in_genre": 0.14757, "idf": 2.9213901653036336, "tf_tot": 0.132}
Sci-Fi,there,{"count": 527, "idf2": 9.8, "tf-idf2": 1.11, "tf-idf": 0.374, "tf_in_genre": 0.11353, "idf": 3.293358942690592, "tf_tot": 0.102}
Sci-Fi,their,{"count": 1599, "idf2": 3.2, "tf-idf2": 1.1, "tf-idf": 0.577, "tf_in_genre": 0.34446, "idf": 1.6757654377294688, "tf_tot": 0.313}
Sci-Fi,man,{"count": 773, "idf2": 6.6, "tf-idf2": 1.1, "tf-idf": 0.453, "tf_in_genre": 0.16652, "idf": 2.7178567712185018, "tf_tot": 0.152}
Sci-Fi,other,{"count": 648, "idf2": 7.9, "tf-idf2": 1.1, "tf-idf": 0.416, "tf_in_genre": 0.1396, "idf": 2.977099597889921, "tf_tot": 0.127}
Sci-Fi,to,{"count": 4223, "idf2": 1.2, "tf-idf2": 1.09, "tf-idf": 0.189, "tf_in_genre": 0.90974, "idf": 0.20756106993536205, "tf_tot": 0.866}
Sci-Fi,on,{"count": 2295, "idf2": 2.2, "tf-idf2": 1.09, "tf-idf": 0.578, "tf_in_genre": 0.4944, "idf": 1.1681227588083272, "tf_tot": 0.445}
Sci-Fi,-,{"count": 519, "idf2": 9.7, "tf-idf2": 1.08, "tf-idf": 0.367, "tf_in_genre": 0.11181, "idf": 3.279283757478869, "tf_tot": 0.103}
Sci-Fi,when,{"count": 1515, "idf2": 3.3, "tf-idf2": 1.08, "tf-idf": 0.556, "tf_in_genre": 0.32637, "idf": 1.7036894392919077, "tf_tot": 0.307}
Sci-Fi,one,{"count": 1240, "idf2": 4.0, "tf-idf2": 1.07, "tf-idf": 0.539, "tf_in_genre": 0.26713, "idf": 2.0174170530774096, "tf_tot": 0.247}
Sci-Fi,of,{"count": 4058, "idf2": 1.2, "tf-idf2": 1.05, "tf-idf": 0.199, "tf_in_genre": 0.87419, "idf": 0.22769202504159664, "tf_tot": 0.854}
Sci-Fi,as,{"count": 1874, "idf2": 2.6, "tf-idf2": 1.05, "tf-idf": 0.547, "tf_in_genre": 0.40371, "idf": 1.3547594873547348, "tf_tot": 0.391}
Sci-Fi,through,{"count": 568, "idf2": 8.6, "tf-idf2": 1.05, "tf-idf": 0.38, "tf_in_genre": 0.12236, "idf": 3.107803289534515, "tf_tot": 0.116}
Sci-Fi,more,{"count": 498, "idf2": 9.8, "tf-idf2": 1.05, "tf-idf": 0.353, "tf_in_genre": 0.10728, "idf": 3.293358942690592, "tf_tot": 0.102}
Sci-Fi,while,{"count": 601, "idf2": 8.0, "tf-idf2": 1.04, "tf-idf": 0.388, "tf_in_genre": 0.12947, "idf": 3.0, "tf_tot": 0.125}
Sci-Fi,a,{"count": 4336, "idf2": 1.1, "tf-idf2": 1.03, "tf-idf": 0.112, "tf_in_genre": 0.93408, "idf": 0.12029423371771174, "tf_tot": 0.92}
Sci-Fi,this,{"count": 1298, "idf2": 3.7, "tf-idf2": 1.03, "tf-idf": 0.524, "tf_in_genre": 0.27962, "idf": 1.8730271437422346, "tf_tot": 0.273}
Sci-Fi,was,{"count": 676, "idf2": 7.0, "tf-idf2": 1.02, "tf-idf": 0.41, "tf_in_genre": 0.14563, "idf": 2.816037165157405, "tf_tot": 0.142}
Sci-Fi,so,{"count": 507, "idf2": 9.3, "tf-idf2": 1.02, "tf-idf": 0.352, "tf_in_genre": 0.10922, "idf": 3.2243172982609405, "tf_tot": 0.107}
Sci-Fi,but,{"count": 1698, "idf2": 2.8, "tf-idf2": 1.02, "tf-idf": 0.544, "tf_in_genre": 0.36579, "idf": 1.4860040206329876, "tf_tot": 0.357}
Sci-Fi,who,{"count": 1817, "idf2": 2.6, "tf-idf2": 1.02, "tf-idf": 0.536, "tf_in_genre": 0.39143, "idf": 1.3695945285176767, "tf_tot": 0.387}
Sci-Fi,not,{"count": 845, "idf2": 5.6, "tf-idf2": 1.02, "tf-idf": 0.452, "tf_in_genre": 0.18203, "idf": 2.4819685073978306, "tf_tot": 0.179}
Sci-Fi,is,{"count": 3341, "idf2": 1.4, "tf-idf2": 1.01, "tf-idf": 0.375, "tf_in_genre": 0.71973, "idf": 0.5207694387936641, "tf_tot": 0.697}
Sci-Fi,take,{"count": 836, "idf2": 5.6, "tf-idf2": 1.01, "tf-idf": 0.446, "tf_in_genre": 0.18009, "idf": 2.473931188332412, "tf_tot": 0.18}
Sci-Fi,go,{"count": 492, "idf2": 9.5, "tf-idf2": 1.01, "tf-idf": 0.345, "tf_in_genre": 0.10599, "idf": 3.2515387669959646, "tf_tot": 0.105}
Sci-Fi,own,{"count": 478, "idf2": 9.7, "tf-idf2": 1.0, "tf-idf": 0.338, "tf_in_genre": 0.10297, "idf": 3.279283757478869, "tf_tot": 0.103}
